Sex,Age,Base Rate,Comp Care Fee,Access Bonus,Total
f,0,138;79,30;08,25;8,194;67
f,1,138;79,30;08,25;8,194;67
f,2,138;79,30;08,25;8,194;67
f,3,138;79,30;08,25;8,194;67
f,4,138;79,30;08,25;8,194;67
f,5,75;87,16;08,14;1,106;05
f,6,75;87,16;08,14;1,106;05
f,7,75;87,16;08,14;1,106;05
f,8,75;87,16;08,14;1,106;05
f,9,75;87,16;08,14;1,106;05
f,10,65;76,13;7,12;22,91;68
f,11,65;76,13;7,12;22,91;68
f,12,65;76,13;7,12;22,91;68
f,13,65;76,13;7,12;22,91;68
f,14,65;76,13;7,12;22,91;68
f,15,114;17,24;42,21;22,159;81
f,16,114;17,24;42,21;22,159;81
f,17,114;17,24;42,21;22,159;81
f,18,114;17,24;42,21;22,159;81
f,19,114;17,24;42,21;22,159;81
f,20,142;37,30;97,26;47,199;81
f,21,142;37,30;97,26;47,199;81
f,22,142;37,30;97,26;47,199;81
f,23,142;37,30;97,26;47,199;81
f,24,142;37,30;97,26;47,199;81
f,25,142;37,30;97,26;47,199;81
f,26,142;37,30;97,26;47,199;81
f,27,142;37,30;97,26;47,199;81
f,28,142;37,30;97,26;47,199;81
f,29,142;37,30;97,26;47,199;81
f,30,149;22,32;16,27;74,209;12
f,31,149;22,32;16,27;74,209;12
f,32,149;22,32;16,27;74,209;12
f,33,149;22,32;16,27;74,209;12
f,34,149;22,32;16,27;74,209;12
f,35,149;22,32;16,27;74,209;12
f,36,149;22,32;16,27;74,209;12
f,37,149;22,32;16,27;74,209;12
f,38,149;22,32;16,27;74,209;12
f,39,149;22,32;16,27;74,209;12
f,40,167;43,35;74,31;13,234;3
f,41,167;43,35;74,31;13,234;3
f,42,167;43,35;74,31;13,234;3
f,43,167;43,35;74,31;13,234;3
f,44,167;43,35;74,31;13,234;3
f,45,163;98,38;71,30;48,233;17
f,46,163;98,38;71,30;48,233;17
f,47,163;98,38;71,30;48,233;17
f,48,163;98,38;71,30;48,233;17
f,49,163;98,38;71,30;48,233;17
f,50,203;98,43;48,37;92,285;38
f,51,203;98,43;48,37;92,285;38
f,52,203;98,43;48,37;92,285;38
f,53,203;98,43;48,37;92,285;38
f,54,203;98,43;48,37;92,285;38
f,55,206;22,43;77,38;34,288;33
f,56,206;22,43;77,38;34,288;33
f,57,206;22,43;77,38;34,288;33
f,58,206;22,43;77,38;34,288;33
f,59,206;22,43;77,38;34,288;33
f,60,211;13,44;97,39;25,295;35
f,61,211;13,44;97,39;25,295;35
f,62,211;13,44;97,39;25,295;35
f,63,211;13,44;97,39;25,295;35
f,64,211;13,44;97,39;25,295;35
f,65,254;8,54;45,47;37,356;62
f,66,254;8,54;45,47;37,356;62
f,67,254;8,54;45,47;37,356;62
f,68,254;8,54;45,47;37,356;62
f,69,254;8,54;45,47;37,356;62
f,70,274;74,58;22,51;07,384;03
f,71,274;74,58;22,51;07,384;03
f,72,274;74,58;22,51;07,384;03
f,73,274;74,58;22,51;07,384;03
f,74,274;74,58;22,51;07,384;03
f,75,334;45,69;52,62;17,466;14
f,76,334;45,69;52,62;17,466;14
f,77,334;45,69;52,62;17,466;14
f,78,334;45,69;52,62;17,466;14
f,79,334;45,69;52,62;17,466;14
f,80,363;76,71;92,67;62,503;3
f,81,363;76,71;92,67;62,503;3
f,82,363;76,71;92,67;62,503;3
f,83,363;76,71;92,67;62,503;3
f,84,363;76,71;92,67;62,503;3
f,85,444;02,81;85,82;54,608;41
f,86,444;02,81;85,82;54,608;41
f,87,444;02,81;85,82;54,608;41
f,88,444;02,81;85,82;54,608;41
f,89,444;02,81;85,82;54,608;41
f,90,557;61,92;47,103;66,753;74
f,91,557;61,92;47,103;66,753;74
f,92,557;61,92;47,103;66,753;74
f,93,557;61,92;47,103;66,753;74
f,94,557;61,92;47,103;66,753;74
f,95,557;61,92;47,103;66,753;74
f,96,557;61,92;47,103;66,753;74
f,97,557;61,92;47,103;66,753;74
f,98,557;61,92;47,103;66,753;74
f,99,557;61,92;47,103;66,753;74
f,100,557;61,92;47,103;66,753;74
